X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE,Staff FT (program and maintenance),Staff PT
-75.02456936,40.04789742,96,James J Ramp Playground,1938,PPR_REC,B,Y,N,112, ,Programs 9/2021,1,1
-75.00196045,40.0514017,97,George Jacobs Playground,1877,PPR_REC,B,Y,N,65,"Gym on site is Non-PPR, it is an athletic association.",Programs 9/2021,1,1
-75.18802029,40.05773574,98,Mount Airy Playground,1917,PPR_REC,B,Y,N,95, ,Programs 9/2021,1,1
-75.18239753,40.05709209,99,Pleasant Playground,1936,PPR_REC,B,Y,N,111, ,Programs 9/2021,1,1
-75.23139861,40.06910761,104,Samuel F Houston Playground,1876,PPR_REC,B,Y,N,63,Located within Wissahickon Valley Park,Programs 9/2021,1,1
-74.99194831,40.06823961,105,Thomas Mitchell Playground,1912,PPR_REC,B,Y,N,92, ,Programs 9/2021,1,1
-74.98926858,40.08044252,110,Elizabeth M Picariello Playground,1934,PPR_REC,B,Y,N,109, ,Programs 9/2021,1,1
-75.02078199,40.09117744,111,Officer Robert Hayes Memorial Playground,1923,PPR_REC,B,Y,Y,56,Gym extension constructred in 2019.,Programs 9/2021,1,1
-74.98906437,40.09578237,112,Michael Palmer Playground,1926,PPR_REC,B,Y,N,102,"Northern property building is for the Far NE Athletic Association, it is NOT PPR Programmed.",Programs 9/2021,1,1
-74.97219479,40.09632119,113,Eileen Fitzpatrick Playground,1983,PPR_REC,B,Y,N,42, ,Programs 9/2021,1,1
-75.03320141,40.10026795,114,William A Lackman Memorial Playground,1888,PPR_REC,B,Y,N,73, ,Programs 9/2021,1,1
-74.96943963,40.10340606,115,Jim Junod Recreation Center,1883,PPR_REC,B,Y,N,70, ,Programs 9/2021,1,1
-75.02472468,40.11490966,116,Tomlinson and Gifford Playground,1863,PPR_REC,B,Y,N,48, ,Programs 9/2021,1,1
-75.07587524,40.01422542,118,William (Billy) Gambrel Playground,1862,PPR_REC,B,Y,Y,46, ,Programs 9/2021,1,1
-75.15171967,39.98607489,119,Penrose Memorial Playground,1977,PPR_REC,B,Y,N,108,Located in PPR District 6 but managed by District 10. ,Programs 9/2021,1,1
-75.15077396,39.97608265,121,Marie Dendy Recreation Center,1902,PPR_REC,B,Y,N,31, ,Programs 9/2021,1,1
-75.13731965,39.97288301,122,Hancock Playground,1867,PPR_REC,B,Y,N,53, ,Programs 9/2021,1,1
-75.13292583,39.98857526,123,Waterloo Playground,2901,PPR_REC,B,Y,N,141, ,Programs 9/2021,1,1
-75.16349396,39.93847958,129,Hawthorne Cultural Center,1869,PPR_REC,B,Y,N,55, ,Programs 9/2021,1,1
-75.15930833,39.94361834,131,Charles T Mitchell Jr (Seger) Park,1951,PPR_REC,B,Y,N,122,Building is named for Charles Seger (1977); Site is named for Charles T Mitchell Jr (1976).,Programs 9/2021;Communication 2022,1,1
-75.18327252,39.94799461,132,William H (Billy) Markward Memorial Playground,1903,PPR_REC,B,Y,N,81,Located within Schuylkill River Park,Programs 9/2021,1,1
-75.2107279,39.961664,134,John A Lee Cultural Center,1892,PPR_REC,B,Y,N,75, ,Programs 9/2021,1,1
-75.22302452,39.96746678,135,West Mill Creek,1970,PPR_REC,B,Y,N,144, ,Programs 9/2021,1,1
-75.15115213,39.96679646,137,East Poplar Playground,1851,PPR_REC,B,Y,N,36, ,Programs 9/2021,1,1
-75.18780303,39.98978191,141,Joseph E Mander Playground,1900,PPR_REC,B,Y,N,80,Located in East Fairmount Park,Programs 9/2021,1,1
-75.16627217,40.0236932,143,Happy Hollow Recreation Center,1868,PPR_REC,B,Y,Y,54, ,Programs 9/2021,1,1
-74.99820507,40.05897969,145,Torresdale Recreation Center,68,PPR_REC,B,Y,N,135, ,Programs 9/2021,1,1
-75.25110101,39.90443774,147,Eastwick Regional Playground,499,PPR_REC,B,Y,N,37, ,Programs 9/2021,1,1
-75.13106611,40.04354765,153,Fisher Park,679,PPR_REC,B,Y,N,0,Staff deployed from Olney (Closed),Programs 9/2021,1,1
-75.15777061,39.98880972,156,Marie Winchester Playground,2900,PPR_REC,B,Y,N,0, ,Programs 9/2021,1,1
-75.22184019,40.02330914,169,Venice Island Performing Arts and Recreation Center,3448,PPR_REC,B,Y,N,0, ,Programs 9/2021,1,1
-75.18736468,39.92542697,172,Thomas B Smith Recreation Center,502,PPR_REC,B,Y,N,0, ,Programs 9/2021,1,1
-75.24810754,39.95930112,179,Laura Sims Skating Rink,984,PPR_REC,B,Y,N,,Building located within Johnny Sample Recreation Center (Cobbs Creek Park),Programs 9/2021,1,1
-75.14849567,39.93069602,7,Nelson M Herron Playground and Recreation Center,2898,PPR_REC,C,Y,N,58, ,Programs 9/2021,1,
